trace,request_id,timestamp,method,path,protocol,req_type,header_order_str,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_user,sf_combo,ch_ua,ch_mobile,ch_platform,ch_is_headless,ch_brand_count,ua,ua_family,ua_os,ua_version,priority,accept,accept_encoding,referer,origin,content_type,upgrade_insecure,has_accept,has_accept_encoding,has_accept_language,has_user_agent,has_sec_ch_ua,has_sec_ch_ua_mobile,has_sec_ch_ua_platform,has_sec_fetch_mode,has_sec_fetch_dest,has_sec_fetch_site,has_sec_fetch_user,has_priority,has_upgrade_insecure_requests,has_referer,has_origin,has_content_type,has_content_length,has_cache_control,has_connection,has_te,has_dnt,sf_sf_known_combo,sf_sf_site_valid,sf_sf_user_correct,sf_sf_nav_has_user,sf_sf_no_user_on_non_nav,sf_sf_cors_dest_empty,sf_sf_any_violation,ch_brand_matches_ua,ch_version_near_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,priority_raw,priority_urgency,priority_incr,priority_expected
trial-001,17d04deb-6f9a-4308-a15c-7e47ca466931,2026-04-19 02:01:17.835372217+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Ch-Ua-Platform,Sec-Fetch-Mode,Referer,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Mobile",6bc1e9ddee33bcb2,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-002,d22b7102-a9e5-49bb-a036-c9c55e0f3963,2026-04-19 02:05:37.504966449+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua,User-Agent,Sec-Ch-Ua-Platform,Sec-Fetch-Mode,Accept-Language,Priority,Sec-Ch-Ua-Mobile,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Referer,Accept-Encoding",0eb2c24f29949e8a,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-003,5d1ca08e-61f7-4861-ba98-bc262f9c7000,2026-04-19 02:15:26.013223055+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Referer,Accept-Language,Sec-Fetch-Site,Sec-Fetch-Dest,Accept-Encoding,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Mode",889f3813767586bd,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-004,a8488934-cda6-4133-b257-1eaa72a0af4a,2026-04-19 02:23:59.616415353+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Language,Sec-Ch-Ua,Referer,Accept-Encoding,Priority,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Site",ffc13c0d95419eac,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-005,975f8cf9-8886-4ca5-adc5-7258a41c7edb,2026-04-19 02:31:15.185246041+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Sec-Ch-Ua-Platform",bb4b1bb19dd6e123,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-006,90b0d8cf-2027-438c-85c1-c1ac956e84b5,2026-04-19 02:41:50.593299801+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Fetch-Mode,Accept-Language,Priority,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform,Sec-Fetch-Site,Sec-Fetch-Dest,Referer,Accept-Encoding,Sec-Ch-Ua,Accept",23e5c96b3c1e7cb8,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-007,2dc0b862-9f94-44b7-bed0-8cccd9d3dce8,2026-04-19 02:50:26.226753327+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua,Sec-Ch-Ua-Platform,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Mobile,User-Agent,Accept,Sec-Fetch-Site",397534461ff05d5f,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-007,e0f42424-7802-4195-ada7-5fefd698393d,2026-04-19 03:02:04.932902377+00:00,GET,/,HTTP/1.1,other,"Pragma,Upgrade-Insecure-Requests,User-Agent,Accept-Encoding,Accept-Language,Cache-Control,Connection,Connection,Referer,Accept",ce86f81b25470e49,10,,,,,||,,,,False,0,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",safari,macos,604,,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",gzip,http://devsecopstrainee.site,,,1,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,,,,
trial-007,371f332b-a3cb-4b3b-9ad1-427315936105,2026-04-19 03:04:20.539441318+00:00,GET,/,HTTP/1.1,other,"User-Agent,Accept-Encoding,Accept-Language,Connection,Connection,Referer,Accept,Cache-Control,Pragma,Upgrade-Insecure-Requests",2c79dbcfb774292e,10,,,,,||,,,,False,0,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1",safari,macos,604,,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",gzip,http://www.shdwt.top,,,1,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,,,,
trial-008,af1a22c7-a7fc-4154-98ed-9c3fc40e9c1c,2026-04-19 03:10:57.214496288+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Encoding,Accept-Language,Sec-Ch-Ua-Mobile,User-Agent,Referer,Priority",6268dcfca3ecb6af,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-009,11e4b4f3-7290-4bbf-ab6b-99736d2fe420,2026-04-19 03:19:21.593914958+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"User-Agent,Sec-Fetch-Site,Accept-Language,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Accept-Encoding",84c99b0b9b570777,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-010,9c4e139e-efae-4e86-8422-5d4fd74d4706,2026-04-19 03:30:28.797995387+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua-Mobile,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Priority,Sec-Ch-Ua,User-Agent,Sec-Ch-Ua-Platform,Sec-Fetch-Dest,Accept-Encoding,Accept-Language",15c9cf4a160f6410,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-011,b2aba388-b3b7-437a-ade0-3b1ebeda245d,2026-05-02 21:19:47.910631381+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua-Mobile,Sec-Fetch-Mode,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Platform,User-Agent,Sec-Ch-Ua,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Referer",c6937aa86e73965c,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36",headless-chrome,linux,147,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-012,1d7c978e-f0c4-41cd-9eef-3adac948090d,2026-05-02 21:29:26.670844327+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Accept-Encoding,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Sec-Fetch-Dest,Referer,Accept-Language,Priority,Sec-Ch-Ua-Platform,User-Agent",a856bf3608d9f637,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36",headless-chrome,linux,147,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-013,a928dd90-eb9a-4398-906c-bc63a44a839f,2026-05-02 21:40:12.646119230+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua-Platform,User-Agent,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Accept-Encoding,Accept,Sec-Fetch-Dest,Accept-Language,Priority",710b1e81a23927ef,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36",headless-chrome,linux,147,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-014,342c4853-3748-4ba0-97eb-14deae1acc44,2026-05-02 21:52:40.224954867+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"User-Agent,Sec-Ch-Ua,Accept,Sec-Fetch-Dest,Referer,Accept-Language,Sec-Ch-Ua-Platform,Sec-Ch-Ua-Mobile,Sec-Fetch-Site,Sec-Fetch-Mode,Accept-Encoding,Priority",9d62af74a5ce99ee,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/147.0.0.0 Safari/537.36",headless-chrome,linux,147,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-014,4cc6bd42-8d52-4303-977b-9363809f1b44,2026-05-02 21:52:46.993630939+00:00,GET,/,HTTP/1.1,other,"Accept-Encoding,Connection,User-Agent",ff2587e03b46485e,3,,,,,||,,,,False,0,"Mozilla/5.0 (Linux; Android 9; ASUS_X00TD; Flow) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/359.0.0.288 Mobile Safari/537.36",chrome,android,359,,,"gzip, x-gzip, deflate",,,,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,,,,
