feature,description,null_frac,n_unique,overall_mean,overall_std,mean_autogen_websurfer,mean_browser_use,mean_claude_computer_use,mean_gemini_computer_use,mean_heritrix,mean_human,mean_nutch,mean_operator,mean_scrapy,mean_skyvern
f1_frac_kyber768,Fraction of requests with x25519Kyber768 curve (older Chrome PQ),0.0,24,0.0717,0.23,0.2767,0.3182,0.0037,0.0074,0.0,0.0,0.0,0.0313,0.0,0.0798
f1_frac_mlkem768,Fraction of requests with X25519MLKEM768 curve (newer Chrome PQ),0.0,37,0.6522,0.4471,0.6495,0.6529,0.9896,0.9822,0.0,0.7441,0.0,0.5829,1.0,0.9212
f2_frac_firefox_ja4,"Fraction of requests with Firefox JA4 prefix (t13d2812, 28 TLS ext)",0.0,8,0.0353,0.1732,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.3161,0.0,0.0033
f2_frac_h2,Fraction of requests negotiated over HTTP/2,0.0,28,0.6447,0.4504,0.8854,0.9315,0.9793,0.9793,0.0,0.8377,0.0,0.916,0.0,0.9181
f2_frac_pq,Fraction of requests advertising any PQ key exchange,0.0,31,0.7055,0.4289,0.8773,0.9382,0.9896,0.9822,0.0,0.7441,0.0,0.5829,1.0,0.941
f3_mean_ak_window,"Mean H2 WINDOW_UPDATE size (Firefox~2.15e9, Chrome~1.57e7)",0.31,38,155786631.9444,488083578.7652,24728649.1191,20102950.5422,15670872.2296,15643686.9259,,202802884.8738,,788007929.5931,,28251075.6203
f3_frac_win_firefox,Fraction of requests with Firefox-sized H2 window (>1e9),0.0,17,0.0444,0.1864,0.0083,0.0042,0.0,0.0,0.0,0.1033,0.0,0.3212,0.0,0.0074
f3_mean_init_window,Mean H2 SETTINGS INITIAL_WINDOW_SIZE,0.31,39,126962731.0397,472938242.0858,6414513.6312,6357200.0508,6279805.1556,6287572.3852,,85435919.4936,,759509201.8268,,14302223.5804
f4_frac_s3_w110,Fraction of requests where stream-3 priority weight = 110 (Skyvern),0.0,12,0.0814,0.2444,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0667,0.0,0.6804
f4_frac_s3_w220,Fraction of requests where stream-3 priority weight = 220 (Chrome),0.0,12,0.5525,0.482,1.0,1.0,1.0,1.0,0.0,0.6722,0.0,0.5333,0.0,0.3196
f5_frac_s5_w110,Fraction of requests where stream-5 priority weight = 110,0.0,2,0.0367,0.1883,0.0333,0.0,0.0,0.0333,0.0,0.2333,0.0,0.0,0.0,0.0667
f5_frac_s5_w220,Fraction of requests where stream-5 priority weight = 220 (BrowserUse),0.0,4,0.2076,0.4053,0.0056,1.0,0.0,0.0,0.0,0.5033,0.0,0.4333,0.0,0.1333
f5_frac_s5_w256,Fraction of requests where stream-5 priority weight = 256 (Claude/Gemini),0.0,3,0.2994,0.4583,0.9278,0.0,1.0,0.9667,0.0,0.0333,0.0,0.0667,0.0,0.0
f6_stream3_coverage,Fraction of requests with stream-3 priority data present,0.0,38,0.4908,0.3986,0.6889,0.7951,0.8504,0.8471,0.0,0.6735,0.0,0.4745,0.0,0.5785
f6_stream5_coverage,Fraction of requests with stream-5 priority data present,0.0,34,0.3751,0.3674,0.5697,0.6957,0.7289,0.7261,0.0,0.6214,0.0,0.3802,0.0,0.0295
f7_ja3_diversity,"Unique JA3 fingerprints / total requests (Skyvern~0.76, Claude~0.14)",0.0,43,0.2611,0.2391,0.2215,0.144,0.1463,0.1462,0.3333,0.3479,0.125,0.2666,0.0909,0.7888
f7_ip_diversity,Unique source IPs / total requests,0.0,36,0.1923,0.1567,0.2388,0.164,0.1463,0.1462,0.1667,0.3863,0.125,0.222,0.0909,0.237
f8_mean_cipher_count,"Mean number of cipher suites offered (Firefox~28, Chrome~15)",0.0,65,19.1608,7.0647,18.0103,15.4846,14.9822,15.1333,31.0,17.0504,15.0,19.5299,30.0,15.4176
f8_mean_curve_count,Mean number of elliptic curves offered,0.0,56,5.9502,2.5574,4.5861,4.1684,4.0219,4.0652,10.0,4.3176,10.0,5.9905,8.0,4.352
f8_mean_sig_count,Mean number of signature schemes offered,0.0,64,12.8118,6.365,8.7781,8.4451,8.07,8.1037,18.0,9.7662,19.0,13.2799,26.0,8.6753
f9_h2_pseudo_order,"Modal H2 pseudo-header order (0=Chrome, 1=Firefox, 2=Skyvern...)",0.0,4,-0.2867,0.5647,-0.0667,-0.0333,0.0,0.0,-1.0,-0.1,-1.0,0.3333,-1.0,0.0
f9_ak_pseudo_order,Modal AK pseudo-header order (same scale as f9_h2),0.0,5,-0.2433,0.6154,0.0,0.0,0.0,0.0,-1.0,0.0667,-1.0,0.5,-1.0,0.0
f10_frac_ext16,Fraction of requests with 16 TLS extensions (standard Chrome),0.0,37,0.5009,0.453,0.8082,0.8945,0.9719,0.9681,0.0,0.6579,0.0,0.4854,0.0,0.2229
f10_frac_ext17,Fraction of requests with 17 TLS extensions (Skyvern extra extension),0.0,20,0.0743,0.213,0.0,0.0,0.0,0.0,0.0,0.0698,0.0,0.0528,0.0,0.6202
f10_frac_firefox_ext,"Fraction of requests with Firefox TLS profile (ext=12, cipher=28 in JA4_A)",0.0,8,0.0353,0.1732,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.3161,0.0,0.0033
f11_grease_cipher,"Modal GREASE presence in cipher suites (1=present, 0=absent)",0.0,2,0.6167,0.487,0.9,0.9667,1.0,1.0,0.0,0.7667,0.0,0.5667,0.0,0.9667
f11_grease_curve,Modal GREASE presence in elliptic curves,0.0,2,0.6167,0.487,0.9,0.9667,1.0,1.0,0.0,0.7667,0.0,0.5667,0.0,0.9667
f11_grease_ver,Modal GREASE presence in supported_versions,0.0,2,0.6167,0.487,0.9,0.9667,1.0,1.0,0.0,0.7667,0.0,0.5667,0.0,0.9667
f12_log_n_requests,log1p(total requests in trial) -- session length signal,0.0,24,2.2624,0.4465,2.3717,2.4571,2.2247,2.2282,1.9459,1.9405,2.1972,2.3174,2.4849,2.4567
